datestr,XCENU,YCENU,XCENO,YCENO,DXCEN,DYCEN,totalTime,timeOfYear,timeOfDay,T_SPCCD,T_SPCEB
20160520_161005,43.987064,-86.121620,29.424707,-131.331070,14.562357,45.209450,9.658518,0.385144,0.673669,-39.409400,-7.321180
20160521_194430,251.644852,-89.680824,233.542984,-140.222961,18.101868,50.542137,9.661663,0.388289,0.822569,-42.728200,-9.595290
20160522_002927,300.770660,-87.772751,284.043488,-141.031906,16.727173,53.259155,9.662205,0.388831,0.020451,-45.945900,-11.841100
20160522_052441,331.086884,-88.200790,311.713531,-141.839020,19.373352,53.638229,9.662767,0.389392,0.225475,-45.287300,-11.591200
20160522_101920,385.932220,-89.262306,366.717529,-142.805786,19.214691,53.543480,9.663327,0.389952,0.430093,-45.040200,-11.954800
20160522_133732,436.770203,-89.039177,418.995422,-143.579773,17.774780,54.540596,9.663704,0.390329,0.567731,-45.122600,-10.643700
20160522_184005,467.649719,-92.296715,448.708069,-144.573288,18.941650,52.276573,9.664279,0.390904,0.777836,-41.900300,-9.595290
20160523_010748,526.976318,-90.606720,508.834473,-145.792374,18.141846,55.185654,9.665016,0.391642,0.047083,-44.710500,-11.410000
20160523_073818,571.069824,-92.292191,554.477051,-147.259140,16.592773,54.966949,9.665758,0.392384,0.318264,-45.369700,-11.818300
20160523_105404,594.971008,-93.020164,577.882996,-147.991516,17.088013,54.971352,9.666131,0.392756,0.454213,-44.628000,-12.525700
20160523_123204,606.551086,-92.929451,589.354492,-148.360275,17.196594,55.430824,9.666317,0.392943,0.522269,-45.945900,-12.137100
20160523_141034,617.631653,-93.201309,600.786926,-148.739151,16.844727,55.537842,9.666504,0.393130,0.590671,-46.028200,-11.568600
20160523_160204,630.472961,-96.843933,613.455994,-148.773804,17.016968,51.929871,9.666716,0.393342,0.668102,-41.734600,-8.691230
20160523_191604,653.454834,-97.439491,635.085022,-149.935028,18.369812,52.495537,9.667085,0.393711,0.802824,-42.811000,-9.573110
